label,horizon,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,rel_skill,wilcoxon_p,condition
lorenz_chaotic_H96,96,0.04983178967778358,0.05273272508876442,0.5334855897623522,0.6248310834221779,0.4836538000845686,10.705728074626931,9.5367431640625e-07,chaotic
lorenz_surrogate_H96,96,0.7840436697006226,0.2561415135860443,1.036058485507965,0.31541113555431366,0.25201481580734253,1.3214295651459966,4.100799560546875e-05,surrogate
lorenz_chaotic_H192,192,0.2251443675116438,0.3447818658332104,0.8527609248054955,0.51269913468464,0.6276165572938517,3.7876182923447694,6.67572021484375e-06,chaotic
lorenz_surrogate_H192,192,0.9318941831588745,0.2825857698917389,1.1974575519561768,0.35332606732845306,0.26556336879730225,1.284971591835795,5.245208740234375e-05,surrogate
lorenz_chaotic_H336,336,0.5172646632419072,0.46016369897160936,1.0305398821276048,0.5097995891675141,0.5132752188856976,1.992287421431021,3.147125244140625e-05,chaotic
lorenz_surrogate_H336,336,0.9700499475002289,0.27986086905002594,1.2361512780189514,0.17361247539520264,0.26610133051872253,1.2743171433640634,9.5367431640625e-07,surrogate
