label,horizon,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,rel_skill,wilcoxon_p,periods_in_window,seed
piw=0.5_seed=42,96,0.017175812274217606,0.007697497261688113,0.08792988210916519,0.1695240382105112,0.07075406983494759,5.119401674013148,4.76837158203125e-06,0.5,42
piw=0.75_seed=42,96,0.01810452062636614,0.007754965219646692,0.20335206389427185,0.19476020149886608,0.1852475432679057,11.232115342403727,9.5367431640625e-07,0.75,42
piw=1_seed=42,96,0.01705541042611003,0.012731703696772456,0.19903627038002014,0.20791661739349365,0.1819808599539101,11.66997834747598,9.5367431640625e-07,1.0,42
piw=1.5_seed=42,96,0.013475921005010605,0.00515435915440321,0.05719330348074436,0.0693103838711977,0.04371738247573376,4.2441109189849655,9.5367431640625e-07,1.5,42
piw=2_seed=42,96,0.014648353215306997,0.003529933514073491,0.026520781219005585,0.047410686034709215,0.011872428003698587,1.8104957485113298,0.0001049041748046875,2.0,42
piw=4_seed=42,96,0.012312269303947687,0.0033492478542029858,0.005390042904764414,0.01707181823439896,-0.006922226399183273,0.43777818464677365,0.6628885269165039,4.0,42
piw=8_seed=42,96,0.014437583275139332,0.0043947778176516294,0.006268833996728063,0.000787368044257164,-0.00816874927841127,0.4342024476854534,0.9998388290405273,8.0,42
piw=12_seed=42,96,0.011964849196374416,0.003438797313719988,0.032879043370485306,0.06688618706539273,0.02091419417411089,2.747969726225074,3.147125244140625e-05,12.0,42
piw=16_seed=42,96,0.028896710835397243,0.007823881227523088,0.007591558620333672,0.0004973590839654207,-0.021305152215063572,0.262713589223945,1.0,16.0,42
piw=24_seed=42,96,0.03467506356537342,0.01607642089948058,0.12585336342453957,0.1151623111218214,0.09117829985916615,3.629506350789129,9.5367431640625e-07,24.0,42
piw=32_seed=42,96,0.1696772426366806,0.058735236525535583,0.009632257744669914,0.0011816443875432014,-0.1600449848920107,0.056768118075179196,1.0,32.0,42
piw=48_seed=42,96,0.06859458610415459,0.01950510684400797,0.016506562940776348,0.0019046235829591751,-0.05208802316337824,0.24063944223983869,0.9997072219848633,48.0,42
piw=0.5_seed=123,96,0.0184969799593091,0.008250056533142924,0.10864261165261269,0.16683442890644073,0.09014563169330359,5.873532430246018,4.76837158203125e-06,0.5,123
piw=0.75_seed=123,96,0.018359709531068802,0.004760865354910493,0.11349797248840332,0.11367030069231987,0.09513826295733452,6.181904582767987,9.5367431640625e-07,0.75,123
piw=1_seed=123,96,0.017203238792717457,0.011133386055007577,0.2596999406814575,0.19687126949429512,0.24249670188874006,15.09599115669979,9.5367431640625e-07,1.0,123
piw=1.5_seed=123,96,0.016255222260951996,0.006631710799410939,0.08274731412529945,0.09918797947466373,0.06649209186434746,5.090506472130718,9.5367431640625e-07,1.5,123
piw=2_seed=123,96,0.015242910012602806,0.005846827523782849,0.04256097227334976,0.0386716122739017,0.027318062260746956,2.792181561011673,8.392333984375e-05,2.0,123
piw=4_seed=123,96,0.012852574698626995,0.00411338871344924,0.005204277113080025,0.01222580496687442,-0.00764829758554697,0.4049209777116474,0.7147016525268555,4.0,123
piw=8_seed=123,96,0.0136538315564394,0.0027372813783586025,0.006408227374777198,0.0006653362652286887,-0.007245604181662202,0.46933546442902757,0.9996461868286133,8.0,123
piw=12_seed=123,96,0.012392144650220871,0.0029546862933784723,0.03226412646472454,0.043910393957048655,0.01987198181450367,2.603595049558228,9.5367431640625e-07,12.0,123
piw=16_seed=123,96,0.028794588521122932,0.005764193367213011,0.007666176185011864,0.0009517006110399961,-0.02112841233611107,0.2662366985862001,0.9999971389770508,16.0,123
piw=24_seed=123,96,0.03475409373641014,0.01442636363208294,0.2148003950715065,0.16660109907388687,0.18004630133509636,6.180578227723164,4.76837158203125e-06,24.0,123
piw=32_seed=123,96,0.19487439095973969,0.057209309190511703,0.009718290064483881,0.0009084432385861874,-0.1851561008952558,0.049869508336226914,1.0,32.0,123
piw=48_seed=123,96,0.0668574869632721,0.019793800078332424,0.01702782418578863,0.001666356809437275,-0.04982966277748346,0.25468836714043414,0.9999160766601562,48.0,123
