label,horizon,baseline_mae,ablation_mae,wilcoxon_p
Harmonic_H96_stable,96,0.13717690110206604,0.08690709620714188,0.004717826843261719
Harmonic_H192_stable,192,0.1725841909646988,0.1377454698085785,0.12274360656738281
Harmonic_H336_stable,336,0.25906144082546234,0.18993688374757767,0.009616851806640625
