label,horizon,name_a,name_b,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p,method,seed
Diversity_seed0,96,panda,chronos,0.026094057597219944,0.0063611106015741825,0.09383411705493927,0.07605421636253595,0.06774005945771933,0.00390625,diversity,0
Stratified_seed0,96,panda,chronos,0.02811756730079651,0.004772982560098171,0.0705646425485611,0.04345053527504206,0.04244707524776459,0.00390625,stratified_uniform,0
Diversity_seed1,96,panda,chronos,0.025971469469368458,0.00706210732460022,0.05366966128349304,0.027686641551554203,0.027698191814124584,0.00390625,diversity,1
Stratified_seed1,96,panda,chronos,0.02811756730079651,0.004772982560098171,0.07361575216054916,0.06183742359280586,0.045498184859752655,0.00390625,stratified_uniform,1
Diversity_seed2,96,panda,chronos,0.02668641973286867,0.006916648708283901,0.11154916509985924,0.04825557582080364,0.08486274536699057,0.00390625,diversity,2
Stratified_seed2,96,panda,chronos,0.02811756730079651,0.004772982560098171,0.09883375465869904,0.06327376328408718,0.07071618735790253,0.00390625,stratified_uniform,2
Diversity_seed3,96,panda,chronos,0.02764944639056921,0.006313122808933258,0.12943020090460777,0.08091402985155582,0.10178075451403856,0.00390625,diversity,3
Stratified_seed3,96,panda,chronos,0.02811756730079651,0.004772982560098171,0.06428506411612034,0.0654726205393672,0.03616749681532383,0.00390625,stratified_uniform,3
Diversity_seed4,96,panda,chronos,0.029021646827459335,0.006954468786716461,0.060014884918928146,0.04757154360413551,0.03099323809146881,0.00390625,diversity,4
Stratified_seed4,96,panda,chronos,0.02811756730079651,0.004772982560098171,0.1352369412779808,0.11747909337282181,0.1071193739771843,0.00390625,stratified_uniform,4
Diversity_seed5,96,panda,chronos,0.02719094417989254,0.00650413054972887,0.13733013719320297,0.11275456566363573,0.11013919301331043,0.00390625,diversity,5
Stratified_seed5,96,panda,chronos,0.02811756730079651,0.004772982560098171,0.08912266790866852,0.06037880852818489,0.06100510060787201,0.00390625,stratified_uniform,5
Diversity_seed6,96,panda,chronos,0.026937498711049557,0.005785395856946707,0.09855089336633682,0.0754345552995801,0.07161339465528727,0.00390625,diversity,6
Stratified_seed6,96,panda,chronos,0.02811756730079651,0.004772982560098171,0.07134046033024788,0.07033536210656166,0.04322289302945137,0.0078125,stratified_uniform,6
Diversity_seed7,96,panda,chronos,0.030394325964152813,0.007403521332889795,0.14500373974442482,0.24524188600480556,0.11460941378027201,0.00390625,diversity,7
Stratified_seed7,96,panda,chronos,0.02811756730079651,0.004772982560098171,0.10102343559265137,0.15861043985933065,0.07290586829185486,0.00390625,stratified_uniform,7
Diversity_seed8,96,panda,chronos,0.029021646827459335,0.006954468786716461,0.11163096502423286,0.07163415104150772,0.08260931819677353,0.00390625,diversity,8
Stratified_seed8,96,panda,chronos,0.02811756730079651,0.004772982560098171,0.08094688504934311,0.12332463823258877,0.0528293177485466,0.00390625,stratified_uniform,8
Diversity_seed9,96,panda,chronos,0.02929568476974964,0.0062700435519218445,0.10898400470614433,0.053685578517615795,0.07968831993639469,0.00390625,diversity,9
Stratified_seed9,96,panda,chronos,0.02811756730079651,0.004772982560098171,0.06056301109492779,0.10674961842596531,0.03244544379413128,0.00390625,stratified_uniform,9
