label,horizon,panda_mae,chronos_mae,advantage_mae,rel_skill,wilcoxon_p,periods_in_window,samples_per_period
piw=1,96,0.016150825656950474,0.20703689754009247,0.190886071883142,12.818966778394675,9.5367431640625e-07,1,512.0
piw=2,96,0.014779102988541126,0.0257169334217906,0.010937830433249474,1.74008757106098,0.002429962158203125,2,256.0
piw=4,96,0.011665071360766888,0.0052055795677006245,-0.006459491793066263,0.44625355531116084,0.7270622253417969,4,128.0
piw=8,96,0.015409430488944054,0.006127168424427509,-0.009282262064516544,0.39762458637414444,0.9999904632568359,8,64.0
piw=16,96,0.026656828820705414,0.007564486004412174,-0.01909234281629324,0.2837729144487186,1.0,16,32.0
piw=32,96,0.1668531373143196,0.010607762727886438,-0.15624537458643317,0.06357544663906096,1.0,32,16.0
