label,horizon,name_a,name_b,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p,nu
Burgers_PCA_nu=2.000,128,panda,chronos,0.015249836724251509,0.0034477924928069115,0.019148804247379303,0.01865712064318359,0.0038989675231277943,0.2734375,2.0
Burgers_PCA_nu=1.000,128,panda,chronos,0.01858129259198904,0.00677228020504117,0.056825244799256325,0.08671548403799534,0.038243952207267284,0.00390625,1.0
Burgers_PCA_nu=0.500,128,panda,chronos,0.04019990749657154,0.006658148020505905,0.1022721529006958,0.042742492631077766,0.06207224540412426,0.00390625,0.5
Burgers_PCA_nu=0.100,128,panda,chronos,0.11269334331154823,0.01788453385233879,0.22389166057109833,0.0689801387488842,0.1111983172595501,0.00390625,0.1
Burgers_PCA_nu=0.050,128,panda,chronos,0.1373504400253296,0.048079146072268486,0.28647251427173615,0.1049681045114994,0.14912207424640656,0.00390625,0.05
Burgers_PCA_nu=0.020,128,panda,chronos,0.1394224464893341,0.05746201239526272,0.25931476056575775,0.14316856861114502,0.11989231407642365,0.00390625,0.02
Burgers_PCA_nu=0.010,128,panda,chronos,0.13751251995563507,0.07449645176529884,0.23247017711400986,0.0679955780506134,0.09495765715837479,0.00390625,0.01
Burgers_PCA_nu=0.005,128,panda,chronos,0.15085915476083755,0.08399885147809982,0.2731879949569702,0.04483230412006378,0.12232884019613266,0.00390625,0.005
