label,horizon,name_a,name_b,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p,condition,dataset
Weather_full_H96,96,panda,chronos,0.6128120124340057,0.2427659034729004,0.802105575799942,0.23338130116462708,0.18929356336593628,0.00390625,full,Weather
Weather_periodic_H96,96,,,0.17570357769727707,0.05818001925945282,0.6977532207965851,0.12604884803295135,0.522049643099308,0.00390625,periodic_only,Weather
Weather_full_H336,336,panda,chronos,0.8754464685916901,0.2712475061416626,0.9785652458667755,0.3030932992696762,0.10311877727508545,0.01953125,full,Weather
Weather_periodic_H336,336,,,0.49304139614105225,0.14012960344552994,0.9944323599338531,0.1061750203371048,0.5013909637928009,0.00390625,periodic_only,Weather
