subset,horizon,het,panda_base,panda_off,chronos_mae,adv_base,adv_off,delta_panda,delta_adv,p_base,p_off
homo_matched,96,0.0857,0.327607125043869,0.4124821275472641,0.7136829495429993,0.38607582449913025,0.43874166905879974,-0.08487500250339508,0.052665844559669495,0.00390625,0.00390625
homo_matched,336,0.0857,0.8388648629188538,0.881866067647934,1.2073521614074707,0.36848729848861694,0.14364084601402283,-0.0430012047290802,-0.22484645247459412,0.00390625,0.0078125
hetero_controlled,96,0.8529,0.6051328480243683,0.5676560997962952,0.8473797738552094,0.24224692583084106,0.2766585946083069,0.03747674822807312,0.03441166877746582,0.0078125,0.00390625
hetero_controlled,336,0.8529,0.8666711747646332,0.8701322376728058,0.9542428255081177,0.0875716507434845,0.14595016837120056,-0.0034610629081726074,0.058378517627716064,0.01953125,0.00390625
