label,horizon,name_a,name_b,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p
Weather_multi_H96_gate,96,panda,chronos,0.6328134834766388,0.18117184937000275,0.7870814502239227,0.18533439934253693,0.15426796674728394,0.002429962158203125
Weather_multivariate_H192,192,panda,chronos,0.7183289229869843,0.24708017706871033,0.9349436461925507,0.27324941754341125,0.2166147232055664,0.00043173793155839197
Weather_multivariate_H336,336,panda,chronos,0.8241086304187775,0.27845752239227295,1.0108464658260345,0.3443809896707535,0.18673783540725708,0.00036197674999442655
