label,horizon,name_a,name_b,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p,nu,method
Burgers_nu=0.05_Uniform,128,panda,chronos,0.031726972199976444,0.00907410541549325,0.07648491114377975,0.02948962338268757,0.04475793894380331,0.00390625,0.05,Uniform
Burgers_nu=0.05_Stratified_Uniform,128,panda,chronos,0.029584132134914398,0.005392112769186497,0.0736423060297966,0.024407539516687393,0.0440581738948822,0.00390625,0.05,Stratified_Uniform
Burgers_nu=0.05_PCA,128,panda,chronos,0.1373504400253296,0.048079146072268486,0.2914741635322571,0.07273147255182266,0.1541237235069275,0.00390625,0.05,PCA
Burgers_nu=0.05_Diversity,128,panda,chronos,0.03167335968464613,0.0055732144974172115,0.11321435868740082,0.025680093094706535,0.08154099900275469,0.00390625,0.05,Diversity
Burgers_nu=0.005_Uniform,128,panda,chronos,0.028769907541573048,0.0031781308352947235,0.16956727206707,0.13490933552384377,0.14079736452549696,0.00390625,0.005,Uniform
Burgers_nu=0.005_Stratified_Uniform,128,panda,chronos,0.03010374866425991,0.0012936773709952831,0.1779184341430664,0.07796918600797653,0.1478146854788065,0.00390625,0.005,Stratified_Uniform
Burgers_nu=0.005_PCA,128,panda,chronos,0.15085915476083755,0.08399885147809982,0.3029329180717468,0.22799170017242432,0.15207376331090927,0.00390625,0.005,PCA
Burgers_nu=0.005_Diversity,128,panda,chronos,0.03000823501497507,0.004589332267642021,0.24750729650259018,0.19889836385846138,0.2174990614876151,0.00390625,0.005,Diversity
