nu,panda_multi,panda_uni,adv_multi,adv_uni,delta,p_multi,p_uni
2.0,0.0094,0.0078,0.0058,0.001,-0.0016000000000000007,0.055,0.273
1.0,0.01653143670409918,0.012562178075313568,-0.001878106500953436,0.0033995751291513443,-0.00396925862878561,0.3203125,0.00390625
0.5,0.023535561747848988,0.024142838083207607,0.033096217550337315,0.023112387396395206,0.0006072763353586197,0.00390625,0.00390625
