label,horizon,n_windows,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p,subset,window_set
homo_matched_n8_H96,96,8,0.3308665305376053,0.17811376601457596,0.7024149894714355,0.20097807049751282,0.37154845893383026,0.0078125,homo_matched,n8
hetero_controlled_n8_H96,96,8,0.6126155257225037,0.27634457498788834,0.8560694754123688,0.22527945041656494,0.2434539496898651,0.0078125,hetero_controlled,n8
homo_matched_n20_H96,96,20,0.553930401802063,0.3300393670797348,0.8172991573810577,0.30367669463157654,0.26336875557899475,0.006039619445800781,homo_matched,n20
hetero_controlled_n20_H96,96,20,0.5608738362789154,0.1810460090637207,0.9246541559696198,0.30632539093494415,0.36378031969070435,0.00013065338134765625,hetero_controlled,n20
homo_matched_n8_H336,336,8,0.8330827057361603,0.5226980298757553,1.1787269115447998,0.5788625031709671,0.3456442058086395,0.00390625,homo_matched,n8
hetero_controlled_n8_H336,336,8,0.8669027388095856,0.1652410477399826,1.0579650402069092,0.13818815350532532,0.1910623013973236,0.02734375,hetero_controlled,n8
homo_matched_n20_H336,336,20,0.9220045506954193,0.3624340891838074,1.1805569529533386,0.6502657234668732,0.2585524022579193,0.00016117095947265625,homo_matched,n20
hetero_controlled_n20_H336,336,20,0.7083938121795654,0.24476034939289093,1.085174798965454,0.4509109705686569,0.37678098678588867,1.9073486328125e-06,hetero_controlled,n20
