class,baseline,horizon,context_len,mae_median,mae_iqr
burgers,persistence,96,512,3.2374446163885295e-05,1.3228095667727757e-05
burgers,tail_linear,96,512,1.3269927916402273e-05,5.41990240925659e-06
burgers,full_context_linear,96,512,0.003118397338095936,0.0011137152889523468
burgers,context_mean,96,512,0.0025409467052668333,0.0011012821341864765
burgers,ar5_ridge,96,512,0.00134521052404159,0.0003083436895534842
burgers,persistence,96,256,3.2374446163885295e-05,1.3228095667727757e-05
burgers,tail_linear,96,256,1.3269927916402273e-05,5.41990240925659e-06
burgers,full_context_linear,96,256,0.0003047306874032875,0.0001243990966656204
burgers,context_mean,96,256,0.00035925133852288127,0.00014672402176074684
burgers,ar5_ridge,96,256,0.0003407612742918105,0.00013926243870455567
burgers,persistence,96,128,3.2374446163885295e-05,1.3228095667727757e-05
burgers,tail_linear,96,128,1.3269927916402273e-05,5.41990240925659e-06
burgers,full_context_linear,96,128,7.387697936515639e-05,3.0175486191749934e-05
burgers,context_mean,96,128,0.00012386783782858402,5.0605782234924845e-05
burgers,ar5_ridge,96,128,0.0003906969923382405,8.295221407020608e-05
burgers,persistence,96,64,3.2374446163885295e-05,1.3228095667727757e-05
burgers,tail_linear,96,64,1.3269927916402273e-05,5.41990240925659e-06
burgers,full_context_linear,96,64,3.173921385608573e-05,1.2965546466749227e-05
burgers,context_mean,96,64,6.774676876375452e-05,2.7679519917001016e-05
burgers,ar5_ridge,96,64,0.000554487254969877,0.00010995129319113614
burgers,persistence,96,32,3.2374446163885295e-05,1.3228095667727757e-05
burgers,tail_linear,96,32,1.3269927916402273e-05,5.41990240925659e-06
burgers,full_context_linear,96,32,1.9419701303200677e-05,7.934113477255e-06
burgers,context_mean,96,32,4.788338264916092e-05,1.9564365175028797e-05
burgers,ar5_ridge,96,32,0.0008141967192717618,0.00018847205700936117
burgers,persistence,192,512,4.9768947064876556e-05,2.0155514903308358e-05
burgers,tail_linear,192,512,4.0380708300432943e-05,1.6350838624823642e-05
burgers,full_context_linear,192,512,0.00390712511476936,0.0014405611012053591
burgers,context_mean,192,512,0.0025295033119618893,0.0010978783830069005
burgers,ar5_ridge,192,512,0.0015015184421505142,0.000463427734570071
burgers,persistence,192,256,4.9768947064876556e-05,2.0155514903308358e-05
burgers,tail_linear,192,256,4.0380708300432943e-05,1.6350838624823642e-05
burgers,full_context_linear,192,256,0.0004649615311712601,0.00018813824626565042
burgers,context_mean,192,256,0.0003744629502762109,0.00015158408496063203
burgers,ar5_ridge,192,256,0.00046553548074988217,0.000178057722947453
burgers,persistence,192,128,4.9768947064876556e-05,2.0155514903308358e-05
burgers,tail_linear,192,128,4.0380708300432943e-05,1.6350838624823642e-05
burgers,full_context_linear,192,128,0.00013995538773364975,5.666146388392283e-05
burgers,context_mean,192,128,0.00014065142022445798,5.6954486353788525e-05
burgers,ar5_ridge,192,128,0.0005347968431178567,0.00010189551618063433
