label,horizon,name_a,name_b,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p,subset,n_channels,heterogeneity
Weather_homogeneous_H96,96,panda,chronos,0.31784509122371674,0.28699755668640137,0.6892036199569702,0.225807785987854,0.3713585287332535,0.00390625,homogeneous,7,0.03532095195636484
Weather_homogeneous_H336,336,panda,chronos,0.8172697722911835,0.49890825152397156,1.1826438903808594,0.4878295809030533,0.3653741180896759,0.00390625,homogeneous,7,0.03532095195636484
Weather_mixed_H96,96,panda,chronos,0.5805524289608002,0.4299051985144615,0.7859770357608795,0.1730382740497589,0.20542460680007935,0.0390625,mixed,7,0.667682965917879
Weather_mixed_H336,336,panda,chronos,0.925391674041748,0.25039322674274445,0.9816858470439911,0.24732650816440582,0.05629417300224304,0.37109375,mixed,7,0.667682965917879
Weather_heterogeneous_H96,96,panda,chronos,0.6183803379535675,0.21206483244895935,0.6968843042850494,0.24427154660224915,0.07850396633148193,0.07421875,heterogeneous,7,0.9471041829879652
Weather_heterogeneous_H336,336,panda,chronos,1.1230166554450989,0.3599945306777954,1.1628755331039429,0.29133403301239014,0.039858877658843994,0.19140625,heterogeneous,7,0.9471041829879652
