label,horizon,name_a,name_b,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p,nu,representation,source,n_windows,advantage_mae_recomputed,relative_skill,wilcoxon_p_resolved,diag_effective_rank,diag_n_dead_channels,diag_n_channels,diag_degenerate
Burgers_PCA_nu=1.000_n20,128,panda,chronos,0.018957084976136684,0.0076503148302435875,0.05267346650362015,0.06216331385076046,0.03371638152748346,9.5367431640625e-07,1.0,PCA,fresh,20,0.03371638152748346,2.778563611964914,9.5367431640625e-07,2.1118271522591074,13,16,True
Burgers_Subsample_nu=1.000_n20,128,panda,chronos,0.02225768007338047,0.0012605702504515648,0.03644688241183758,0.015375007875263691,0.014189202338457108,6.67572021484375e-05,1.0,Subsample,fresh,20,0.014189202338457108,1.6374969130510135,6.67572021484375e-05,2.0706984835983087,0,16,True
Burgers_Fourier_nu=1.000_n20,128,panda,chronos,0.014617685228586197,0.015546007081866264,0.021813184022903442,0.03157557360827923,0.0071954987943172455,0.11525630950927734,1.0,Fourier,fresh,20,0.0071954987943172455,1.4922461170696029,0.11525630950927734,2.111816321545126,9,16,True
Burgers_Fourier_nu=0.050_n8,128,panda,chronos,0.025939407758414745,0.0017447187565267086,0.07208513468503952,0.04556835908442736,0.046145726926624775,0.00390625,0.05,Fourier,fresh,8,0.046145726926624775,2.778981515553496,0.00390625,1.4231848903111333,9,16,True
