label,horizon,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p
Harmonic_H96_stable,96,0.010513951536267996,0.0031731808558106422,0.014551850967109203,0.010302628856152296,0.0040378994308412075,4.76837158203125e-06
Harmonic_H192_stable,192,0.02429227065294981,0.02279118588194251,0.017834736965596676,0.008581496775150299,-0.006457533687353134,0.635746955871582
Harmonic_H336_stable,336,0.02670937217772007,0.07102874619886279,0.037028372287750244,0.032444244250655174,0.010319000110030174,0.7147016525268555
