label,horizon,name_a,name_b,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p,nu,lambda1
Burgers_PCA_nu=2.000,96,panda,chronos,0.009210396092385054,0.004223060124786571,0.0076738710049539804,0.023143160855397582,-0.0015365250874310732,0.19140625,2.0,
Burgers_PCA_nu=1.000,96,panda,chronos,0.01644950360059738,0.004343368578702211,0.020957615226507187,0.02073265565559268,0.004508111625909805,0.00390625,1.0,-0.011358862789187336
Burgers_PCA_nu=0.500,96,panda,chronos,0.023303416557610035,0.0016425959765911102,0.038881645537912846,0.038206358440220356,0.01557822898030281,0.01171875,0.5,-0.006697618449193219
Burgers_PCA_nu=0.100,96,panda,chronos,0.05934310890734196,0.018030721694231033,0.16034092009067535,0.06714046746492386,0.1009978111833334,0.00390625,0.1,-0.0036142818217434875
Burgers_PCA_nu=0.050,96,panda,chronos,0.05928591452538967,0.018924595788121223,0.17801377922296524,0.06311450153589249,0.11872786469757557,0.00390625,0.05,-0.003062741243155465
Burgers_PCA_nu=0.010,96,panda,chronos,0.0755387507379055,0.021268919110298157,0.22656048089265823,0.11978380009531975,0.15102173015475273,0.00390625,0.01,-0.000997942672361639
Burgers_PCA_nu=0.005,96,panda,chronos,0.07824024930596352,0.026233689859509468,0.17858119308948517,0.047219064086675644,0.10034094378352165,0.00390625,0.005,-0.0006525784353910522
