dataset,corr_dim,pe_mean,n_channels
Weather,0.888423384963794,0.8491867831919666,21
ETTh1,1.5406438927814008,0.9646113005471308,7
ETTh2,1.6169640031094292,0.8214479709872521,7
Lorenz_rho28,0.861900233174424,0.46638416122431525,1
Burgers_nu0.05,0.7405241597005785,0.07136406291340522,8
