n_windows,native_median,hourly_median,delta_median,wilcoxon_p,direction,model,convention
20,0.7530776518441382,0.7184926691864217,-0.01962960559342586,0.5458755493164062,hourly BETTER,panda,Fixed sample-horizon
20,0.7530776518441382,0.4225257796545824,-0.18112379262191164,4.76837158203125e-05,hourly BETTER,panda,Fixed physical-horizon
20,0.7695657233820767,0.647744315731827,-0.05775561461979076,0.17685317993164062,hourly BETTER,chronos,Fixed sample-horizon
20,0.7695657233820767,0.3838301703688644,-0.3418300867030796,1.9073486328125e-06,hourly BETTER,chronos,Fixed physical-horizon
