label,horizon,panda_mae,chronos_mae,panda_mse,chronos_mse,panda_smape,chronos_smape,panda_adv_mae,dataset,nu,method
ETTh1_H96,96,0.5532853007316589,0.5256186425685883,0.5497261881828308,0.52440544962883,0.9504862725734711,1.0129733681678772,-0.02766665816307068,ETTh1,,
ETTh1_H192,192,0.5652473270893097,0.608952522277832,0.6065342128276825,0.6587857007980347,0.9572860300540924,1.0835408568382263,0.04370519518852234,ETTh1,,
ETTh1_H336,336,0.5669245719909668,0.5898158550262451,0.634239912033081,0.7690949141979218,0.9732558131217957,1.0519353151321411,0.02289128303527832,ETTh1,,
ETTh1_H720,720,0.6528270542621613,0.7230494022369385,0.7554952502250671,0.9254463315010071,1.0900316834449768,1.1706698536872864,0.07022234797477722,ETTh1,,
ETTh2_H96,96,0.43574145436286926,0.3793370723724365,0.3571786880493164,0.2640075162053108,0.7279502749443054,0.6167999505996704,-0.05640438199043274,ETTh2,,
ETTh2_H192,192,0.4929322451353073,0.3793903738260269,0.44266918301582336,0.299437515437603,0.8856762051582336,0.6406750679016113,-0.1135418713092804,ETTh2,,
ETTh2_H336,336,0.4996601641178131,0.42408284544944763,0.46009644865989685,0.4399576634168625,0.9123129844665527,0.8754368126392365,-0.07557731866836548,ETTh2,,
ETTh2_H720,720,0.47378256916999817,0.5061402171850204,0.4253382384777069,0.4740629643201828,0.86859130859375,1.0366697311401367,0.03235764801502228,ETTh2,,
Weather_H96,96,0.3689972311258316,0.4338909536600113,0.33378659188747406,0.5180368572473526,0.6929223090410233,0.7167355418205261,0.06489372253417969,Weather,,
Weather_H192,192,0.3863394111394882,0.4568495601415634,0.30705201625823975,0.48259419202804565,0.7774328887462616,0.8563789129257202,0.0705101490020752,Weather,,
Weather_H336,336,0.42896033823490143,0.47036994993686676,0.41079360246658325,0.5543209612369537,0.7938230037689209,0.9469453990459442,0.04140961170196533,Weather,,
Weather_H720,720,0.4943184107542038,0.5480182021856308,0.5410622656345367,0.7993196249008179,1.0206970870494843,1.1961978673934937,0.053699791431427,Weather,,
ETTh1_decomp,96,0.19395161420106888,0.18911853432655334,0.12623102590441704,0.12530890107154846,,,-0.0048330798745155334,ETTh1,,
ETTh1_decomp,336,0.20851384103298187,0.2035689279437065,0.15181836485862732,0.14951841533184052,,,-0.00494491308927536,ETTh1,,
ETTh2_decomp,96,0.11282850801944733,0.12415226548910141,0.035725997760891914,0.05730168707668781,,,0.011323757469654083,ETTh2,,
ETTh2_decomp,336,0.14061198383569717,0.1389152929186821,0.07081057503819466,0.0722794197499752,,,-0.0016966909170150757,ETTh2,,
Weather_decomp,96,0.22412142902612686,0.24759894609451294,0.1586313098669052,0.24112990498542786,,,0.023477517068386078,Weather,,
Weather_decomp,336,0.18821942806243896,0.1860661879181862,0.12116747722029686,0.1213018000125885,,,-0.002153240144252777,Weather,,
Burgers_nu=0.05_Uniform,128,0.013876199256628752,0.042662009596824646,0.0003086274955421686,0.030260220170021057,0.01895431987941265,0.049740906804800034,0.028785810340195894,,0.05,Uniform
Burgers_nu=0.05_PCA,128,0.10907837003469467,0.23654747754335403,0.024273441173136234,0.1442820206284523,0.48443618416786194,0.7591347992420197,0.12746910750865936,,0.05,PCA
Burgers_nu=0.05_Diversity,128,0.017826310358941555,0.03975791856646538,0.0006818698602728546,0.006401843158528209,0.05443781428039074,0.11924383416771889,0.021931608207523823,,0.05,Diversity
Burgers_nu=0.01_Uniform,128,0.013954901602119207,0.07228341698646545,0.0003184941306244582,0.057166592217981815,0.0159940579906106,0.1140747144818306,0.05832851538434625,,0.01,Uniform
Burgers_nu=0.01_PCA,128,0.12936116755008698,0.2058224454522133,0.03955374285578728,0.10441876947879791,0.5622702240943909,0.7021309733390808,0.07646127790212631,,0.01,PCA
Burgers_nu=0.01_Diversity,128,0.015146590769290924,0.0828261747956276,0.0004150253807893023,0.02161217760294676,0.024826867505908012,0.1861010566353798,0.06767958402633667,,0.01,Diversity
Burgers_nu=0.005_Uniform,128,0.014525462873280048,0.06148011237382889,0.00036439851101022214,0.013369534630328417,0.03515296522527933,0.13031132891774178,0.04695464950054884,,0.005,Uniform
Burgers_nu=0.005_PCA,128,0.12313608080148697,0.23732447624206543,0.036109769716858864,0.18718235194683075,0.5653998553752899,0.7250104248523712,0.11418839544057846,,0.005,PCA
Burgers_nu=0.005_Diversity,128,0.01589813083410263,0.08162871748209,0.000503927527461201,0.0335401501506567,0.04339462332427502,0.18043269217014313,0.06573058664798737,,0.005,Diversity
