system,d_ground_truth,d_baseline,d_ablation,baseline_dim_error,ablation_dim_error
rossler,2.6707079642830305,1.9705941283272133,1.8517740986683768,0.7001138359558172,0.8189338656146536
burgers_nu1p0,0.9290815280736758,1.1877562315784678,1.406153781394062,0.25867470350479194,0.4770722533203863
harmonic,1.2222260752265561,1.5119804686784635,1.8861198124108158,0.28975439345190734,0.6638937371842597
