class,model,horizon,context_len,panda_mae_median
harmonic,baseline_100k,336,512,1.569087028503418
harmonic,baseline_100k,336,256,2.088468551635742
harmonic,baseline_100k,336,128,2.6580867767333984
harmonic,baseline_100k,336,64,2.6964855194091797
harmonic,baseline_100k,336,32,4.112942695617676
harmonic,ablation_100k,96,512,0.3920999765396118
harmonic,ablation_100k,96,256,0.9506564140319824
harmonic,ablation_100k,96,128,1.0951234102249146
harmonic,ablation_100k,96,64,3.6399519443511963
harmonic,ablation_100k,96,32,3.729304790496826
harmonic,ablation_100k,192,512,0.8123737573623657
harmonic,ablation_100k,192,256,1.3433128595352173
harmonic,ablation_100k,192,128,1.6637787818908691
harmonic,ablation_100k,192,64,3.402369499206543
harmonic,ablation_100k,192,32,3.5509896278381348
harmonic,ablation_100k,336,512,1.165657639503479
harmonic,ablation_100k,336,256,2.217404365539551
harmonic,ablation_100k,336,128,2.5534591674804688
harmonic,ablation_100k,336,64,3.721437454223633
harmonic,ablation_100k,336,32,3.660590648651123
