label,horizon,dataset,condition,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p
ETTh1_vanilla_H96,96,ETTh1,vanilla,0.7205382287502289,0.19488400220870972,0.8157321512699127,0.2682067006826401,0.09519392251968384,0.421875
ETTh1_decomp_H96,96,ETTh1,decomp_fft,0.8032457088359525,0.20595563759680569,0.8293379302262862,0.1291672161318843,0.026092221390333736,0.578125
ETTh1_vanilla_H336,336,ETTh1,vanilla,0.8407191038131714,0.4892358183860779,0.8855937719345093,0.4931841641664505,0.04487466812133789,0.2734375
ETTh1_decomp_H336,336,ETTh1,decomp_fft,1.0473943503316343,0.5172397763248789,1.0174061253326458,0.5245888588376829,-0.029988224998988455,0.76953125
ETTh2_vanilla_H96,96,ETTh2,vanilla,0.9328760206699371,0.4392254501581192,1.0409492254257202,0.4595501869916916,0.10807320475578308,0.23046875
ETTh2_decomp_H96,96,ETTh2,decomp_fft,0.8855718869901934,0.559561702277987,0.9639696182089449,0.5297540793954219,0.07839773121875149,0.2734375
ETTh2_vanilla_H336,336,ETTh2,vanilla,1.259597897529602,0.5309081673622131,1.1577977538108826,0.7594890743494034,-0.10180014371871948,0.37109375
ETTh2_decomp_H336,336,ETTh2,decomp_fft,1.3294150358930357,0.769283370320375,1.229874230288691,0.7454421567673452,-0.09954080560434475,0.9453125
Weather_vanilla_H96,96,Weather,vanilla,0.6081821620464325,0.2632647529244423,0.6879768967628479,0.1874692589044571,0.0797947347164154,0.01953125
Weather_decomp_H96,96,Weather,decomp_fft,0.6770833520349355,0.2792325203975706,0.6871320360624391,0.2295459185094617,0.010048684027503585,0.23046875
Weather_vanilla_H336,336,Weather,vanilla,0.8761635720729828,0.2638253718614578,0.9897441864013672,0.212714284658432,0.1135806143283844,0.00390625
Weather_decomp_H336,336,Weather,decomp_fft,1.0609393911401794,0.10455599950101913,1.0760039494385572,0.11516663410052463,0.015064558298377717,0.01953125
