label,horizon,name_a,name_b,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p,system,regime,pe,lambda1
Harmonic_periodic,96,panda,chronos,0.06468058750033379,0.04232193250209093,0.4345790892839432,0.21791277080774307,0.3698985017836094,0.00390625,Harmonic,periodic,0.4380279146946366,0.23930569463983925
VanderPol_limit_cycle,96,panda,chronos,0.03191484045237303,0.008074705488979816,0.04256337881088257,0.020170933101326227,0.01064853835850954,0.02734375,VanderPol,limit_cycle,0.4309550524859813,
Duffing_weakly_chaotic,96,panda,chronos,0.5810898542404175,0.32384393736720085,0.7947551906108856,0.4953070692718029,0.21366533637046814,0.0546875,Duffing,weakly_chaotic,0.47555774940517426,
Rossler_chaotic,96,panda,chronos,0.08262405544519424,0.04655228462070227,0.3868368864059448,0.24639884755015373,0.3042128309607506,0.00390625,Rossler,chaotic,0.44152272960775213,
Lorenz_chaotic,96,panda,chronos,0.05550548434257507,0.025389157235622406,0.5313741862773895,0.4629839025437832,0.47586870193481445,0.00390625,Lorenz,chaotic,0.454741367125926,0.14339774650150883
