label,horizon,panda_mae,chronos_mae,advantage_mae,rel_skill,wilcoxon_p,noise_frac
noise=0.0,96,0.010090333875268698,0.017611163668334484,0.007520829793065786,1.7453499444155423,2.86102294921875e-06,0.0
noise=0.01,96,0.016985629685223103,0.02694375067949295,0.009958120994269848,1.5862674024344863,0.0011625289916992188,0.01
noise=0.05,96,0.04819086194038391,0.10640214011073112,0.058211278170347214,2.2079318739382456,1.9073486328125e-06,0.05
noise=0.1,96,0.08846580609679222,0.14831817150115967,0.05985236540436745,1.6765593176066442,9.5367431640625e-07,0.1
noise=0.25,96,0.20189201831817627,0.2574237883090973,0.05553176999092102,1.2750567875516727,9.5367431640625e-07,0.25
noise=0.5,96,0.361729234457016,0.5233329236507416,0.16160368919372559,1.4467531894023038,1.9073486328125e-06,0.5
