label,horizon,name_a,name_b,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p,H,source,in_spec_for_chronos,advantage_mae_recomputed,relative_skill,wilcoxon_p_resolved
Weather_H64_g5,64,panda,chronos,0.5623268783092499,0.21716879308223724,0.7158278524875641,0.2789567559957504,0.1535009741783142,0.0085906982421875,64,fresh,True,0.1535009741783142,1.2729746346819595,0.0085906982421875
Weather_H32_g5,32,panda,chronos,0.4074549078941345,0.26887065172195435,0.5411019325256348,0.14571525156497955,0.13364702463150024,0.006808280944824219,32,fresh,True,0.13364702463150024,1.3280044540934197,0.006808280944824219
