tau,n_features,top1,top2,top3,total_pers,own_floor,top1_over_floor,top1_over_top2,top1_over_total,dataset,channel,structured
16,449,1.9657502174377441,1.5616697669029236,1.210826814174652,22.06876540929079,0.6406210005283355,3.0685073012226307,1.2587489743982083,0.08907386439524966,Lorenz,x,True
16,456,1.8227295875549316,1.22580224275589,1.1966912746429443,24.54011322185397,0.6860716700553893,2.656762649021458,1.486968716468498,0.0742755166236037,Lorenz,y,False
16,489,0.8887492939829826,0.6152427792549133,0.5760579109191895,29.272020746022463,0.5915581762790679,1.5023869665250211,1.44455054809306,0.03036173353709267,Lorenz,z,False
12,952,0.39402902126312256,0.37598729133605957,0.3132482171058655,64.11545592546463,0.5907290875911713,0.6670215324419916,1.0479849461479196,0.006145616771737354,ETTh1,HUFL,False
12,1177,0.35973459482192993,0.3591051697731018,0.3432592451572418,88.71586781740189,0.5492533475160598,0.6549520297851467,1.0017527596420452,0.004054907015758988,ETTh1,HULL,False
14,1085,0.44357573986053467,0.38517045974731445,0.38214874267578125,88.94324681162834,0.5845309883356093,0.7588575263110858,1.1516348895279669,0.004987177281710635,ETTh1,MUFL,False
12,1150,0.7210848331451416,0.5393071174621582,0.5157957077026367,93.57945847511292,0.5954406082630156,1.211010507410047,1.337057883712685,0.007705588864215443,ETTh1,MULL,False
10,865,0.49008238315582275,0.42890429496765137,0.4158551096916199,62.00462934374809,0.5431823253631591,0.902242875498876,1.1426380871116844,0.007903964403026266,ETTh1,LUFL,False
28,1014,1.7786672115325928,0.40313732624053955,0.3211064338684082,47.46896521747112,0.9755015969276428,1.823336032595469,4.412062827621467,0.03747010711912355,ETTh1,LULL,False
15,745,0.32585608959198,0.2522584795951843,0.22462332248687744,35.43031343817711,0.5021038860082626,0.6489814133536057,1.291754751376059,0.0091970986979997,ETTh1,OT,False
15,1140,0.4085068702697754,0.3985382318496704,0.3565124273300171,81.1237525343895,0.6851083129644394,0.5962661122913261,1.0250130040820404,0.005035601257432016,ETTh2,HUFL,False
16,1149,0.4627929925918579,0.3706204891204834,0.3413829803466797,74.60550245642662,0.7051999747753143,0.656257812174922,1.2486978086130867,0.006203201873241888,ETTh2,HULL,False
