label,horizon,name_a,name_b,published_mae,published_iqr,advantage_mae,wilcoxon_p,dataset,model_tag,retrained_base_mae,retrained_base_iqr,koopman_ablation_mae,koopman_ablation_iqr
Weather_published_H96,96,published,published,0.6352387368679047,0.19464798271656036,0.0,1.0,Weather,published,,,,
Weather_retrained_base_H96,96,retrained_base,published,0.6352387368679047,0.19464798271656036,-0.18856200575828552,0.9968051910400391,Weather,retrained_base,0.8238007426261902,0.23321858048439026,,
Weather_koopman_ablation_H96,96,koopman_ablation,published,0.6352387368679047,0.19464798271656036,-0.02163645625114441,0.9175214767456055,Weather,koopman_ablation,,,0.6568751931190491,0.39743536710739136
Weather_published_H192,192,published,published,0.7229190468788147,0.24311669170856476,0.0,1.0,Weather,published,,,,
Weather_retrained_base_H192,192,retrained_base,published,0.7229190468788147,0.24311669170856476,-0.14554306864738464,0.954502438526638,Weather,retrained_base,0.8684621155261993,0.4213414937257767,,
Weather_koopman_ablation_H192,192,koopman_ablation,published,0.7229190468788147,0.24311669170856476,-0.1462593376636505,0.9929513229397479,Weather,koopman_ablation,,,0.8691783845424652,0.3835041671991348
Weather_published_H336,336,published,published,0.8283672630786896,0.2963468134403229,0.0,1.0,Weather,published,,,,
Weather_retrained_base_H336,336,retrained_base,published,0.8283672630786896,0.2963468134403229,-0.10075616836547852,0.9921764530683262,Weather,retrained_base,0.9291234314441681,0.47008542716503143,,
Weather_koopman_ablation_H336,336,koopman_ablation,published,0.8283672630786896,0.2963468134403229,-0.16699650883674622,0.9826650184245068,Weather,koopman_ablation,,,0.9953637719154358,0.17671534419059753
Burgers_published_H96,96,published,published,0.015470787417143583,0.004197890870273113,0.0,1.0,Burgers_nu1.0,published,,,,
Burgers_retrained_base_H96,96,retrained_base,published,0.015470787417143583,0.004197890870273113,-0.0416705165989697,1.0,Burgers_nu1.0,retrained_base,0.05714130401611328,0.01821211725473404,,
Burgers_koopman_ablation_H96,96,koopman_ablation,published,0.015470787417143583,0.004197890870273113,-0.055040229577571154,1.0,Burgers_nu1.0,koopman_ablation,,,0.07051101699471474,0.02795279212296009
Burgers_published_H192,192,published,published,0.01672099158167839,0.008208855520933867,0.0,1.0,Burgers_nu1.0,published,,,,
Burgers_retrained_base_H192,192,retrained_base,published,0.01672099158167839,0.008208855520933867,-0.06044230982661247,1.0,Burgers_nu1.0,retrained_base,0.07716330140829086,0.06514817290008068,,
Burgers_koopman_ablation_H192,192,koopman_ablation,published,0.01672099158167839,0.008208855520933867,-0.11186552420258522,1.0,Burgers_nu1.0,koopman_ablation,,,0.1285865157842636,0.06133029982447624
Burgers_published_H336,336,published,published,0.025262112729251385,0.02312535047531128,0.0,1.0,Burgers_nu1.0,published,,,,
Burgers_retrained_base_H336,336,retrained_base,published,0.025262112729251385,0.02312535047531128,-0.16779030580073595,1.0,Burgers_nu1.0,retrained_base,0.19305241852998734,0.1521643102169037,,
Burgers_koopman_ablation_H336,336,koopman_ablation,published,0.025262112729251385,0.02312535047531128,-0.23336914647370577,1.0,Burgers_nu1.0,koopman_ablation,,,0.25863125920295715,0.16776705905795097
