label,horizon,name_a,name_b,panda_mae,panda_iqr,chronos_mae,chronos_iqr,advantage_mae,wilcoxon_p
Harmonic_H96_n20,96,panda,chronos,0.06908289343118668,0.033902449533343315,0.3909319341182709,0.18567604571580887,0.3218490406870842,9.5367431640625e-07
Harmonic_H192_n20,192,panda,chronos,0.13516797870397568,0.06149226427078247,0.7571943998336792,0.6237038001418114,0.6220264211297035,9.5367431640625e-07
Harmonic_H336_n20,336,panda,chronos,0.32974565029144287,0.1659333035349846,1.4012476205825806,0.536788135766983,1.0715019702911377,9.5367431640625e-07
