global_step,loss,lr,elapsed_h
50500,0.39611824917793276,1.25e-05,0.09555226518048181
51000,0.25324441346526144,2.5e-05,0.19138914426167805
51500,0.2106829636991024,3.7500000000000003e-05,0.2873405139313804
52000,0.18703418031334876,5e-05,0.3831375880373849
52500,0.18226550540328026,4.9986614686909146e-05,0.47917577816380397
53000,0.16975554609298707,4.994647308096509e-05,0.5752530685398314
53500,0.1679693895280361,4.987961816680492e-05,0.6715447366899914
54000,0.1660146967470646,4.9786121534345265e-05,0.7676076675785912
54500,0.16236248797178268,4.966608330212198e-05,0.8636995046668583
55000,0.16248057094216348,4.951963201008076e-05,0.9599223579963049
55500,0.15774873679876328,4.934692448193334e-05,1.0559165925449796
56000,0.15732192081212998,4.914814565722671e-05,1.152009803056717
56500,0.15452998338639737,4.892350839330522e-05,1.2481764285431969
57000,0.15017212791740894,4.867325323737765e-05,1.344279751115375
57500,0.15155428305268287,4.839764816893315e-05,1.4404087497790654
58000,0.14818423394858837,4.8096988312782174e-05,1.5365263062053256
58500,0.1465748053640127,4.7771595623029394e-05,1.6328527455859714
59000,0.14596882639825345,4.742181853831721e-05,1.728927844762802
59500,0.1438674014210701,4.7048031608708876e-05,1.8248870589998034
60000,0.14156152148544787,4.665063509461097e-05,1.920927945971489
60500,0.1413772830069065,4.6230054538164474e-05,2.017080557545026
61000,0.1380513455569744,4.5786740307563636e-05,2.11315682053566
61500,0.13919750905036926,4.5321167114790385e-05,2.2092267402675416
62000,0.1352603233009577,4.4833833507280884e-05,2.3052034195926456
62500,0.13584615470468997,4.4325261334068426e-05,2.4012062793970106
63000,0.13398372189700603,4.379599518697444e-05,2.497272093759643
63500,0.13287339819967747,4.324660181744589e-05,2.5934166559245853
64000,0.13089336843788624,4.267766952966369e-05,2.689498450756073
64500,0.12916496442258357,4.208980755057178e-05,2.785531148645613
65000,0.1300176358371973,4.148364537750172e-05,2.881638457973798
65500,0.12700982977449893,4.085983210409114e-05,2.977705496880743
66000,0.12621686930954457,4.021903572521802e-05,3.0737697980801264
66500,0.12573879384994507,3.956194242169506e-05,3.1698988442950777
67000,0.12299832691252231,3.888925582549006e-05,3.2660396007034516
67500,0.1235352280139923,3.82016962662592e-05,3.362250871989462
68000,0.12114213933050633,3.7500000000000003e-05,3.45830874423186
68500,0.11949440783262252,3.678491842064995e-05,3.5544075408246782
69000,0.12040069337189198,3.6057217255475034e-05,3.6504964231120214
69500,0.11851300279796123,3.5317675745109866e-05,3.7465880604585013
70000,0.11652325607836246,3.456708580912725e-05,3.8428406711419423
70500,0.11666182920336723,3.380625119803084e-05,3.9389946474631627
71000,0.11522144713997841,3.303598663257904e-05,4.035069487889608
71500,0.11331016597151757,3.225711693136156e-05,4.13115997850895
72000,0.11343034449219704,3.147047612756302e-05,4.2273102273543675
72500,0.11157273064553738,3.0676906575859334e-05,4.323456262879901
73000,0.11170336824655533,2.9877258050403212e-05,4.419497897691197
73500,0.10951785627007485,2.9072386834864724e-05,4.515727661715614
74000,0.10940412163734436,2.8263154805501297e-05,4.611960910492473
74500,0.10806911569833756,2.7450428508239024e-05,4.7080697390105986
75000,0.1066882162541151,2.663507823075358e-05,4.804387237164709
75500,0.10677391536533833,2.5817977070544407e-05,4.900610772702429
76000,0.10583415050804615,2.5e-05,4.996825893388854
76500,0.10496513690054417,2.41820229294556e-05,5.092998465365834
77000,0.10383917640149594,2.3364921769246423e-05,5.189177002840572
77500,0.10242863242328167,2.2549571491760986e-05,5.285286230643591
78000,0.10274470961093903,2.173684519449872e-05,5.381454843282699
78500,0.10153557473421097,2.0927613165135285e-05,5.4775757823387785
79000,0.10024247218668461,2.0122741949596797e-05,5.573697318898307
79500,0.10070607231557369,1.932309342414067e-05,5.669914772642984
80000,0.09909407037496566,1.852952387243698e-05,5.766044633189837
80500,0.09699798132479191,1.7742883068638447e-05,5.8621574523713855
81000,0.09846600694954395,1.6964013367420966e-05,5.9582177320453855
81500,0.09684902913868428,1.6193748801969163e-05,6.054267092678282
82000,0.09701503053307534,1.5432914190872757e-05,6.150377352635066
82500,0.09643422858417035,1.4682324254890134e-05,6.246404087411033
83000,0.09459212665259838,1.3942782744524973e-05,6.342438491516643
83500,0.09459218476712704,1.3215081579350058e-05,6.438484670586056
84000,0.09439650443196297,1.2500000000000006e-05,6.534597189890014
84500,0.0934763531088829,1.1798303733740802e-05,6.63067720996009
85000,0.09290748438984156,1.1110744174509952e-05,6.726745646198591
85500,0.0927084627225995,1.043805757830495e-05,6.822914331224229
86000,0.09225125508755445,9.780964274781984e-06,6.919057162735197
